Asker_Id	Answerer_Id
800452	162698
800452	1617926
5367133	2398724
5367133	7643022
5367133	6852836
5367133	715680
1757401	383904
1757401	245581
1757401	3030058
1757401	467853
4357818	383904
707381	527617
707381	1070844
3743069	3905567
2761425	4336685
961296	8733589
961296	438581
961296	4224574
961296	691711
2854582	2065702
4253848	3988232
4253848	77501
1161353	3571248
1161353	1161353
1161353	1053949
3164386	5294828
3164386	2225845
3164386	3540289
3164386	3064056
1348596	309383
367401	188993
367401	778669
367401	139054
367401	129346
367401	361610
367401	157601
2225110	3190931
2225110	2397550
2225110	2212031
2225110	2560539
5217568	1250044
5217568	684368
5217568	3168107
5217568	4670340
2030321	3233135
2030321	1098851
2030321	4672534
2030321	5703316
5727130	3897775
5727130	5708097
2993494	508127
2993494	1344955
1941842	22550
410856	1386886
4354830	893541
4354830	4908989
4785333	6240567
4785333	4534940
3344629	4799446
3344629	791483
3344629	3385827
4490837	2522817
4490837	5019360
4490837	3509618
8709940	383904
8709940	2003070
467732	1486486
3355076	2801559
3355076	3374771
5822173	1213296
5822173	5336818
5822173	4298752
5822173	5217986
5822173	4316126
4914404	1213296
4934026	5246327
3265508	3461086
3265508	2480715
723627	4719913
723627	886539
723627	708689
723627	239078
2688196	1713113
2688196	2989639
2688196	2842567
2688196	1916902
2688196	1203457
1046690	3449496
1046690	3961271
1046690	2801559
2076123	3007335
2076123	1428241
2076123	3603806
2076123	1015959
4684797	2025923
4684797	1213296
4684797	462627
5015595	4281779
5015595	2560539
6546151	4573410
6546151	6572922
3817083	1077233
3817083	1428241
654994	638649
654994	419970
1923179	1014032
1923179	454533
1923179	2802163
7684942	4336685
7684942	2904249
4635579	4262148
4735105	2827823
4735105	2792819
3522687	508355
3522687	3522687
3522687	1738328
5831005	2367096
5716477	9097183
6275215	3317022
5661019	5656059
6108371	6583140
6108371	5050263
6108371	2151050
6108371	4602228
6108371	7303174
6108371	4025572
6108371	4423636
9382	2973474
9382	1891677
9382	5374560
4983469	695833
4983469	4690716
4983469	4130165
4983469	6278923
4684797	5659190
4684797	3540027
4684797	462627
4684797	1961248
4684797	3219157
4533291	1021703
4533291	519413
7903731	3377049
7903731	5641669
7903731	1123505
5818302	5545315
5818302	3792090
1066197	3969161
1066197	2883651
110282	349326
110282	528262
110282	480513
2218509	3190165
2218509	1340674
2218509	3943125
2218509	2573335
1457726	2487355
1457726	128165
1457726	1112154
5673922	2929632
5673922	8620333
1561346	2074346
3607726	3903374
3607726	4908989
2945958	3889449
2945958	4572668
1043706	3375368
1043706	2333214
1043706	1544003
1043706	1756130
1043706	2072908
1043706	1876473
2732875	3693099
2005622	1400370
2810940	114251
729789	417562
729789	719312
8064006	2315360
4635579	5204681
4635579	4426074
4635579	6321150
735239	4733161
735239	4987197
4253848	3389866
4253848	4830176
4253848	949476
7721665	2932476
7721665	3895033
7591175	1950503
7591175	4849258
5069132	6471733
5069132	6715237
5813068	5858627
5813068	2474466
2363199	521952
2363199	854246
2363199	1132354
5609116	4810109
5609116	3385827
5262198	5258183
4799758	985399
4799758	1021703
2106609	3389866
4429401	3978693
4429401	4182216
4429401	4466092
3756781	4106356
3756781	2315558
2361991	965051
756500	3118450
756500	3025259
756500	1567176
756500	2695742
821952	887728
821952	1322469
821952	695749
821952	1171241
10716939	2943218
7246191	6932159
7246191	7945532
4704969	4305494
6774235	4359569
6774235	5509709
3549132	2260426
3549132	2526525
57872	128165
2585090	3190165
2585090	4003182
1678406	154112
8200184	3069503
3386779	7394630
5707809	157247
6438201	5384679
6438201	2610479
6438201	3164682
6438201	3299465
1335711	2000051
1335711	3589586
1233788	4000611
2649769	2539260
2649769	848740
4671920	2442099
4671920	1585957
4671920	176603
4671920	4050852
4671920	2707010
5661019	673457
5661019	1679849
1202386	1584898
1202386	1154893
1202386	157247
2890876	980799
2890876	965051
2890876	2220391
2890876	2281280
1672778	1572595
1672778	682030
1672778	1667136
5611077	1214090
5611077	3420072
5611077	7060669
5611077	3964601
1749212	1550807
1749212	949476
1749212	1400897
1749212	781020
1749212	2060505
5337466	5178016
6054195	4884304
6054195	300996
6054195	1603968
4907142	4095056
4907142	1755251
2611329	3406576
2611329	2578037
1278673	2311841
1278673	2874009
1278673	1094553
1278673	1260245
1759845	2151351
1759845	3465769
1759845	2416531
1759845	1696560
1476069	884934
1548964	1428241
1548964	573218
1548964	1220864
398431	405143
6010117	863012
4639312	2568296
4639312	3570747
3680657	5140776
3680657	4725625
1875937	2057445
1875937	2661301
2231031	1877390
1118019	704894
1118019	69083
10626486	4294381
10626486	8505497
7356888	4540183
8108219	1548895
8108219	8354151
8108219	3502971
8108219	2542525
8108219	695364
8108219	5664434
8108219	5208460
1993760	3844188
1993760	462627
4063617	5740464
4785333	2423270
5493076	5493076
5493076	4934560
5493076	1563445
5873517	1055103
1573710	3406576
1573710	1055103
1573710	5200780
3510597	1221792
3903716	114251
1374796	623178
2119651	1144916
2119651	949476
2119651	847135
1561550	1510393
1561550	1428241
1231901	702469
1231901	1428241
1144247	15472
1144247	1428241
1144247	1428241
1144247	970349
1496827	1399491
1496827	816620
10140611	4775645
10140611	4348556
8974334	8285970
8974334	2872371
8769474	4764055
8769474	5757843
4566161	6567275
6124708	8353019
6124708	6124708
6124708	5647049
6124708	7079025
6124708	7177498
6527844	2406211
6527844	7654873
7388434	7919626
7388434	1989960
6222152	5758328
3856177	4395287
3856177	1002621
3856177	7461044
3856177	7466829
6438201	4281779
6313073	2016836
6313073	2513159
5395185	4004133
3299574	1479535
3624793	3689082
3624793	2680216
4803173	5437591
4803173	2806996
4803173	5429061
4848302	4592928
4848302	4671195
4409650	3425110
4409650	4037707
5021167	2137269
5021167	4937944
2277150	468392
2277150	3315133
2474872	3639582
3668936	191226
3668936	3650375
2981058	1582196
2981058	3023877
1424290	1009413
1424290	2201975
1272616	49294
1272616	2779757
1272616	408318
1272616	848164
2457563	856353
2457563	1102574
410856	410856
1031569	7393478
1031569	3176303
372630	7132835
5681081	157247
6708287	6304917
4406522	10352943
4406522	6123284
4406522	1483413
6385173	1479535
6385173	4178767
6385173	556526
6385173	3801947
5027061	383904
5027061	2606013
5027061	4996204
5152892	2606013
1760937	5110237
1760937	5894191
456332	1391671
5494384	5058679
5494384	5814792
1030291	2037556
4021991	5053002
4021991	2031863
5027061	3386635
5108384	1055103
5108384	4306798
5132263	4780390
4921783	3468982
278893	278893
3606004	1451859
3606004	4746418
3117555	3749553
144088	8655
144088	3629257
3457902	1356145
2738999	2796349
2738999	1278604
2747192	2758769
1051065	2666313
1051065	2788
657266	1620827
1651224	1651224
8051266	5412657
5872371	5694052
3870112	4826740
3523912	7598731
7594944	7432906
7366625	519413
4174195	1176359
3907658	5545315
4307429	5285945
4307429	6028607
6059023	5752562
6059023	2813224
6059023	1053949
3808794	383904
5728675	1447509
5728675	5728675
5728675	1079221
6010117	863012
5244870	1882699
1677692	804759
1677692	5539748
3880396	5315239
3880396	4867993
2769095	3225108
4239526	4928759
4660895	1316698
3842785	3809630
2217822	2333214
2629914	681895
1724828	1829219
1305850	1305850
1305850	1156334
1305850	1145578
1166683	1166683
410856	1158729
4997649	3574334
4997649	5053002
4997649	1462830
1923179	1947677
1923179	1488021
1923179	2590980
1923179	1136371
1923179	2472289
1923179	2660181
1556487	1402433
1556487	1335954
1556487	676755
1556487	1572095
1556487	1550807
1556487	670396
1556487	741747
1556487	583301
1556487	1645503
2560241	363341
8398927	6700627
5477594	6542267
5477594	2848941
5477594	440646
5477594	5641669
3781199	454780
3781199	3430879
3781199	6683128
2516529	3859574
2516529	3225004
2516529	3686138
2516529	3856753
2516529	2334320
6518078	8438534
6518078	4314475
6518078	2297722
7058735	2419686
7058735	5991278
7058735	2159528
1784053	8309060
1784053	3588584
7246191	8250186
7246191	1234260
7246191	4878695
7940355	1846087
7940355	2542525
6707521	7222236
6707521	7692672
7428715	7509039
7428715	6726597
7428715	5161346
7428715	4181180
3537915	3073244
4461239	2023066
4461239	3164751
4909783	2801559
1190288	3519413
1190288	404335
1190288	265561
1190288	2138752
2276736	2333214
2059996	31671
2059996	2668119
1341418	1428241
1341418	1456376
7940355	5924562
7940355	5459839
7940355	4028085
1974790	6680578
1974790	4915375
1974790	5437621
4265798	5670520
4265798	2754599
1760937	462627
1374796	3900153
1374796	5111146
4505901	3498950
4822032	3903374
1218380	4478897
4523203	2065597
4523203	1308757
983438	2758393
983438	240613
2028856	3581423
2028856	2846794
2028856	1169959
3465076	1289495
3465076	591282
3465076	1414562
3380148	2211053
2678538	3223599
2678538	984861
1318872	1141332
1318872	329788
1318872	1317805
1350614	986551
1350614	1001563
12240008	6588621
6515530	1819684
6515530	2473752
7630046	3478010
7630046	3275343
7630046	1389622
7630046	7920525
7630046	3504780
7630046	7921161
1139398	4946364
1008823	575828
1008823	3967255
6275579	6104489
6275579	3713857
6275579	6694980
6275579	6741739
4363387	6315719
4363387	1960455
4541434	5834064
4864334	1250860
4864334	114251
3715390	109392
3715390	5122581
5123400	4437396
5123400	4690741
5123400	3480602
1116783	4696809
1116783	4867993
4331819	3586768
4331819	5064908
4331819	649504
4222861	754119
4222861	1130119
4222861	3700849
1027620	1535827
3235483	2700880
3235483	3581423
629127	3526422
3486430	3905567
1767759	845059
3140707	3213225
3140707	422203
1053949	2093626
2339984	1921385
2339984	1401094
2339984	1165535
2772605	2208058
2772605	2266713
1198939	1428241
808891	950669
114696	33560
114696	34088
1328888	7137890
1328888	1959054
8964633	1179077
7069608	438581
6928258	8325653
8420023	3527465
8420023	4659098
8061998	2801559
7043325	7043325
8086411	5835777
8086411	2354493
4332480	4315422
4332480	8033577
7099639	7099639
7099639	1336174
6749771	7011496
7809774	3132019
7809774	194533
5844782	7773896
5844782	6808999
5844782	7645429
5844782	6554121
7814912	383904
3042018	7692672
7725231	3275665
7298899	5273689
705725	8093451
5872371	4189897
5872371	3849536
5872371	7650542
7289427	5524992
7289427	6558959
4731885	2159528
6166930	6386166
6166930	1278987
4282529	2158878
4282529	4555964
1636876	3914724
6401008	1087910
5619896	5200704
5619896	768795
6330628	2801559
6330628	1927618
6330628	1052826
6461911	1447509
5010192	6374028
5010192	2065039
5331601	5340535
3732711	3971928
5061865	1918890
5889751	4050852
568503	1799096
4864334	4912716
580950	336441
3914509	5539577
3914509	3002426
2308024	2232458
2308024	1243086
3967113	2851301
629127	2991619
3422159	3258604
4635579	4941993
4635579	1828235
1721367	2991619
2057387	4114907
2057387	4844421
4933137	5037740
4933137	611293
4933137	421163
4933137	3973105
3740894	557748
4837417	4157279
2500177	1143572
4289616	2992220
4637160	201078
4637160	4637160
4637160	238310
4637160	1143622
4637160	519413
4429401	2476755
1269907	3113558
1269907	1585362
2936448	2173853
2279078	114251
2089267	3943125
3077601	3577767
3330034	242076
3817050	3817050
3817050	1433150
1379292	2540625
2064800	2064800
1218380	2594702
1613047	3637307
1150599	1249198
2533082	3324060
3221708	870949
3221708	2993986
1330455	3041194
2665236	805003
2665236	2329962
2665236	3049246
2804469	563535
2804469	2999947
2763154	255376
2875477	2049063
2875477	2875033
1110621	1921385
1110621	3575029
1032650	815386
1032650	1459299
1926956	1729773
1926956	840604
675065	1614825
1125062	1125062
1125062	257182
1125062	575527
1148619	1265216
1096998	507784
1096998	1193055
696465	1019753
696465	752738
398431	653882
398431	637740
398431	513021
11469969	9108165
7947246	1354685
10140611	8073040
9822065	3571366
9968719	9968719
6423904	5177045
6423904	5535040
9386839	7056686
8634006	5340347
8634006	8620333
9313899	695364
5010770	6460365
9063677	9148822
9063677	5225334
8906381	8380177
6813005	590373
6813005	3212723
8507117	5490908
6728630	2427065
7563449	8427082
7563449	4051713
4297979	46914
3569413	5641669
3569413	7996196
8089014	6247556
7786344	7104346
7786344	7152885
7826395	4768433
7826395	7719592
7737117	7737117
7737117	7717626
7559344	6637228
7632450	431859
6696904	7091398
5900689	374601
7278812	2428889
7278812	6436398
4704969	4124227
4704969	746736
7208831	7208831
7207330	2720743
7207330	7108103
7207330	4885784
4640719	6555896
3634506	6935327
6923084	2893878
6845164	996100
6222152	2587784
6222152	5790498
6653823	6653823
6653823	2437790
6501933	2238940
6501933	4147978
4400252	4400252
4506154	2863319
4381665	1601698
5425885	1365104
2216919	46588
2216919	1752518
5027061	2865792
5027061	4021991
5902266	5902266
5902266	1429980
419425	1079913
5812048	5812048
5762524	3923665
5762524	4255447
2024493	2024493
4972993	4336761
1570524	5118056
1760937	4242163
1760937	5231186
1038814	568162
1038814	794749
1038814	1166642
1038814	1242389
5369127	4592928
4634937	1376624
4634937	2805519
4534860	4365315
1893672	5285945
4853130	5037551
1218781	4179776
1280391	1299073
1280391	1280391
3819449	2801559
3819449	561429
3819449	5002838
3819449	2116097
4932412	1582029
4785333	500298
4785333	4908989
3730179	4756106
3634173	4515956
3634173	3815092
2313464	1659277
2302662	4603285
4443442	2902208
2851618	1496715
4562144	4171115
3405502	586051
4390303	1240972
2498890	2260946
2498890	1428241
3542254	4055525
1424667	1375710
2751134	798539
1880580	1880580
3180638	789001
208081	2689500
2904881	395910
2498890	1265216
2498890	249867
1074005	3170478
1074005	463205
2363481	449455
2872460	3041194
3243173	5919316
3243173	2482557
3243173	2721388
3243173	1844763
1006605	1727038
3137631	2065702
2952757	926594
2952757	260640
2952757	3075664
2201975	2026065
1650757	2876280
2513846	2914742
2746178	2588368
2822337	949744
2248259	2323059
1488814	114251
1488814	1723626
1802970	1802970
1802970	538901
1363964	688422
1951979	837251
1870109	302793
1870109	1005975
3677168	3677168
5615228	1123505
4909783	361762
3243173	1799794
3243173	1090901
3243173	3189029
3243173	2709708
4770609	8440598
7297002	9642717
7297002	4739018
7297002	1123505
7297002	5260024
3005003	687901
6475972	3841431
2001594	1410918
2001594	1483981
3180638	1828084
2002077	816620
2002077	350231
2002077	3041194
1108407	3041194
12231153	10422730
10515503	8071073
9565908	1210271
9565908	68788
2763154	7947689
3771012	4737729
6300892	6028607
6300892	6315719
6157267	6157267
5570920	2328974
4223358	4223358
4223358	2720041
4568705	19068
2420042	3703531
4118402	2611780
4118402	2359436
1115367	1115367
1115367	3449215
4110405	1913729
4833572	3546939
6408838	5104748
2958431	1118830
9859452	6081906
9859452	6542963
1031362	2702894
3740413	839501
4894657	519413
4894657	4775312
4575240	2545286
4575240	4698464
8997372	3721086
8997372	8997372
3390083	4703663
2065044	1910265
