Low Answerer Id	Top Answerer	Weight
162698	1617926	26
7643022	2398724	4
6852836	2398724	5
6852836	7643022	1
715680	2398724	5
715680	7643022	1
245581	383904	29
245581	3030058	2
3030058	383904	27
467853	383904	29
467853	3030058	2
527617	1070844	5
438581	8733589	2
4224574	8733589	2
691711	8733589	2
77501	3988232	3
3571248	1161353	1
3571248	1053949	3
1161353	1053949	2
5294828	2225845	20
5294828	3540289	5
5294828	3064056	1
3540289	2225845	15
3064056	2225845	19
3064056	3540289	4
188993	778669	3
188993	139054	3
129346	778669	3
129346	139054	3
361610	188993	1
361610	778669	4
361610	139054	4
361610	129346	1
157601	188993	1
157601	778669	4
157601	139054	4
157601	129346	1
3190931	2212031	1
2397550	3190931	1
2397550	2212031	2
2560539	3190931	1
2560539	2212031	2
1250044	684368	1
1250044	3168107	2
1250044	4670340	4
684368	3168107	1
684368	4670340	3
3168107	4670340	2
3233135	1098851	2
3233135	4672534	4
1098851	4672534	2
5703316	1098851	2
5703316	4672534	4
5708097	3897775	3
508127	1344955	6
893541	4908989	1
4534940	6240567	3
4799446	3385827	4
791483	3385827	4
5019360	2522817	1
3509618	2522817	1
383904	2003070	1
3374771	2801559	3
4298752	1213296	1
4298752	5336818	1
5217986	1213296	1
5217986	5336818	1
4316126	1213296	1
4316126	5336818	1
3461086	2480715	3
4719913	886539	1
4719913	708689	3
4719913	239078	8
886539	708689	2
886539	239078	7
708689	239078	5
1713113	1916902	7
1713113	1203457	1
2989639	1713113	1
2989639	1916902	8
2989639	1203457	2
2842567	1713113	1
2842567	1916902	8
2842567	1203457	2
1203457	1916902	6
3449496	3961271	2
2801559	3961271	2
1428241	3007335	2
1428241	1015959	2
3603806	3007335	2
3603806	1015959	2
1213296	2025923	2
1213296	462627	1
462627	2025923	1
2560539	4281779	3
6572922	4573410	1
1077233	1428241	3
419970	638649	1
2802163	1014032	1
2802163	454533	1
4336685	2904249	1
2827823	2792819	1
508355	1738328	1
3522687	1738328	1
5050263	6583140	2
5050263	4423636	2
2151050	6583140	2
2151050	4423636	2
4602228	6583140	2
4602228	4423636	2
7303174	6583140	2
7303174	4423636	2
4025572	6583140	2
4025572	4423636	2
1891677	2973474	3
5374560	2973474	3
695833	4130165	1
4690716	4130165	1
6278923	4130165	1
3540027	5659190	4
462627	5659190	4
1961248	5659190	4
3219157	5659190	4
1021703	519413	7
3377049	5641669	1
3377049	1123505	2
5641669	1123505	1
3969161	2883651	4
349326	528262	1
480513	349326	1
480513	528262	2
3190165	3943125	1
1340674	3190165	2
1340674	3943125	3
2573335	3190165	2
2573335	3943125	3
2487355	128165	1
2487355	1112154	1
4908989	3903374	2
4572668	3889449	6
2333214	3375368	6
2333214	1544003	1
2333214	1756130	1
2333214	2072908	1
2333214	1876473	1
1544003	3375368	5
1756130	3375368	5
2072908	3375368	5
1876473	3375368	5
719312	417562	4
5204681	4426074	1
6321150	5204681	1
6321150	4426074	2
4733161	4987197	1
3389866	949476	1
4830176	3389866	1
4830176	949476	2
6715237	6471733	4
854246	521952	2
1132354	521952	2
4810109	3385827	2
985399	1021703	2
4182216	3978693	2
4466092	3978693	2
4106356	2315558	4
3118450	2695742	2
3025259	2695742	2
1567176	2695742	2
887728	1171241	2
1322469	1171241	2
695749	1171241	2
7945532	6932159	1
5509709	4359569	1
2526525	2260426	1
4003182	3190165	1
2442099	176603	3
2442099	4050852	2
1585957	176603	3
1585957	4050852	2
4050852	176603	1
2707010	2442099	1
2707010	1585957	1
2707010	176603	4
2707010	4050852	3
1679849	673457	5
1584898	1154893	3
1584898	157247	9
1154893	157247	6
2281280	980799	1
2281280	965051	1
2281280	2220391	1
682030	1572595	2
682030	1667136	2
3420072	1214090	1
7060669	1214090	3
7060669	3420072	2
7060669	3964601	1
3964601	1214090	2
3964601	3420072	1
1400897	1550807	1
1400897	949476	1
781020	1550807	1
781020	949476	1
2060505	1550807	2
2060505	949476	2
2060505	1400897	1
2060505	781020	1
4884304	1603968	1
300996	4884304	2
300996	1603968	3
1755251	4095056	3
3406576	2578037	1
2311841	1094553	3
2874009	2311841	1
2874009	1094553	4
1260245	2311841	1
1260245	1094553	4
2151351	2416531	1
2151351	1696560	4
3465769	2416531	1
3465769	1696560	4
2416531	1696560	3
573218	1428241	1
573218	1220864	1
2568296	3570747	2
2057445	2661301	2
4294381	8505497	1
8354151	1548895	2
8354151	5664434	1
3502971	1548895	2
3502971	5664434	1
2542525	1548895	2
2542525	5664434	1
695364	1548895	2
695364	5664434	1
5664434	1548895	1
5208460	1548895	2
5208460	5664434	1
462627	3844188	1
3406576	5200780	3
1055103	5200780	3
1510393	1428241	3
702469	1428241	1
15472	1428241	1
970349	1428241	1
816620	1399491	3
2872371	8285970	2
8353019	6124708	2
5647049	6124708	2
7079025	6124708	2
7177498	6124708	2
7654873	2406211	2
4395287	1002621	2
7461044	1002621	2
7466829	1002621	2
2513159	2016836	2
3689082	2680216	2
5429061	5437591	1
5429061	2806996	1
4671195	4592928	2
4037707	3425110	2
4937944	2137269	2
3650375	191226	2
1582196	3023877	2
2201975	1009413	2
49294	848164	2
2779757	848164	2
408318	848164	2
3176303	7393478	1
10352943	6123284	1
1483413	6123284	1
1479535	4178767	1
556526	4178767	1
3801947	4178767	1
4996204	2606013	1
5110237	5894191	1
5058679	5814792	1
5053002	2031863	1
4306798	1055103	1
1451859	4746418	1
3629257	8655	1
2796349	1278604	1
2666313	2788	1
3574334	5053002	5
1462830	5053002	5
1488021	1947677	4
1488021	2590980	3
1488021	2660181	1
2590980	1947677	1
1136371	1947677	4
1136371	2590980	3
1136371	2660181	1
2472289	1947677	4
2472289	2590980	3
2472289	2660181	1
2660181	1947677	3
2660181	2590980	2
1402433	670396	2
1402433	741747	2
1335954	1402433	1
1335954	670396	3
1335954	741747	3
1335954	1645503	1
676755	1402433	1
676755	670396	3
676755	741747	3
676755	1645503	1
1572095	1402433	1
1572095	670396	3
1572095	741747	3
1572095	1645503	1
1550807	1402433	1
1550807	670396	3
1550807	741747	3
1550807	1645503	1
583301	1402433	1
583301	670396	3
583301	741747	3
583301	1645503	1
1645503	670396	2
1645503	741747	2
6542267	440646	1
2848941	440646	1
5641669	440646	1
3430879	454780	1
3430879	6683128	1
3859574	3686138	1
3859574	3856753	3
3225004	3686138	1
3225004	3856753	3
3686138	3856753	2
2334320	3686138	1
2334320	3856753	3
8438534	2297722	1
4314475	2297722	1
2419686	5991278	2
2419686	2159528	2
8309060	3588584	4
1234260	8250186	1
4878695	8250186	1
2542525	1846087	2
7222236	7692672	2
7509039	5161346	1
6726597	5161346	1
4181180	7509039	1
4181180	6726597	1
4181180	5161346	2
404335	3519413	2
404335	265561	2
2138752	3519413	2
2138752	265561	2
2668119	31671	2
1456376	1428241	4
5924562	5459839	1
4028085	5924562	1
4028085	5459839	2
2754599	5670520	3
3900153	5111146	1
1308757	2065597	1
240613	2758393	1
3581423	2846794	1
3581423	1169959	2
2846794	1169959	1
1289495	1414562	3
591282	1414562	3
3223599	984861	1
1141332	1317805	3
329788	1317805	3
986551	1001563	3
1819684	2473752	2
3275343	3478010	2
1389622	3478010	2
7920525	3478010	2
3504780	3478010	2
7921161	3478010	2
3967255	575828	2
6104489	3713857	1
6104489	6741739	1
6694980	3713857	1
6694980	6741739	1
4690741	4437396	2
3480602	4437396	2
5064908	3586768	2
649504	3586768	2
754119	1130119	2
3700849	1130119	2
1165535	1921385	1
1165535	1401094	1
34088	33560	2
7137890	1959054	1
4659098	3527465	1
5835777	2354493	1
8033577	4315422	1
7099639	1336174	1
194533	3132019	1
7773896	6554121	1
6808999	6554121	1
7645429	6554121	1
4189897	7650542	1
3849536	7650542	1
5524992	6558959	1
6386166	1278987	1
4555964	2158878	1
768795	5200704	1
2801559	1927618	1
1052826	1927618	1
6374028	2065039	1
3002426	5539577	1
1243086	2232458	1
1828235	4941993	1
4844421	4114907	1
5037740	421163	1
611293	421163	1
3973105	421163	1
4637160	201078	2
238310	201078	2
1143622	201078	3
1143622	4637160	1
1143622	238310	1
1143622	519413	1
519413	201078	2
3113558	1585362	1
3817050	1433150	1
870949	2993986	1
805003	2329962	1
3049246	2329962	1
2999947	563535	1
2875033	2049063	1
1921385	3575029	1
1459299	815386	1
840604	1729773	1
1125062	257182	2
1125062	575527	2
1193055	507784	1
1019753	752738	1
653882	637740	1
513021	637740	1
8427082	4051713	2
4908989	500298	2
1799794	3189029	2
1090901	3189029	2
2709708	3189029	2
4739018	9642717	1
1123505	9642717	1
5260024	9642717	1
1483981	1410918	1
350231	816620	1
3041194	816620	1
2359436	2611780	1
3449215	1115367	1
2545286	4698464	1
8997372	3721086	1
